Category,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Cells,Gene Expression,,,Cells,"10,255"
Cells,Gene Expression,,,Confidently mapped reads in cells,97.4%
Cells,Gene Expression,,,Mean reads per cell,"8,896"
Cells,Gene Expression,,,Median UMI counts per cell,"4,337"
Cells,Gene Expression,,,Median genes per cell,"1,809"
Cells,Gene Expression,,,Total genes detected,"28,129"
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX,Number of reads,"11,546,846"
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX,Q30 RNA read,95.0%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX,Q30 UMI,94.5%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX,Q30 barcodes,95.8%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (2),Number of reads,"11,630,026"
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (2),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (2),Q30 RNA read,95.0%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (2),Q30 UMI,94.8%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (2),Q30 barcodes,96.1%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (3),Number of reads,"11,640,825"
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (3),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (3),Q30 RNA read,95.2%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (3),Q30 UMI,94.8%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (3),Q30 barcodes,96.1%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (4),Number of reads,"11,594,698"
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (4),Number of short reads skipped,0
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (4),Q30 RNA read,95.1%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (4),Q30 UMI,94.8%
Library,Gene Expression,Fastq ID,5k_Human_Donor3_PBMC_3p_gem-x_GEX (4),Q30 barcodes,96.1%
Library,Gene Expression,Fastq ID,5k_Human_Donor4_PBMC_3p_gem-x_GEX,Number of reads,"12,887,379"
Library,Gene Expression,Fastq ID,5k_Human_Donor4_PBMC_3p_gem-x_GEX,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,5k_Human_Donor4_PBMC_3p_gem-x_GEX,Q30 RNA read,95.0%
Library,Gene Expression,Fastq ID,5k_Human_Donor4_PBMC_3p_gem-x_GEX,Q30 UMI,94.4%
